"Cell Type","U:0","U:1","U:2","V","epsilon","k","nut","p"
12,5.1368599,0.00138138,1.68581e-18,1.7059e-09,7.8431401,0.26697901,0.00081791199,18.068701
12,5.1366501,0.0015891501,0,1.7164e-09,7.8437901,0.266958,0.00081771502,18.0581
12,5.1364102,0.00180026,0,1.72694e-09,7.84445,0.26693699,0.00081751897,18.047501
12,5.1361499,0.0020220701,0,1.73752e-09,7.8451099,0.26691601,0.00081732299,18.0369
12,5.13585,0.0022632901,0,1.74814e-09,7.8457899,0.26689601,0.00081712601,18.0263
12,5.13553,0.0025343499,1.65064e-18,1.7588e-09,7.8464799,0.266875,0.00081692799,18.0159
12,5.13518,0.00284793,0,1.76949e-09,7.8471699,0.26685399,0.00081672898,18.0054
12,5.13481,0.0032196301,-1.63673e-18,1.78022e-09,7.8478899,0.26683399,0.000816527,17.9951
12,5.1343899,0.0036687599,-1.37757e-22,1.79098e-09,7.8486199,0.26681301,0.00081632298,17.9848
12,5.1339402,0.0042195199,-1.62259e-18,1.8017799e-09,7.84937,0.26679099,0.000816115,17.974701
12,5.13344,0.0049023498,0,1.8126201e-09,7.8501401,0.26677001,0.00081590097,17.964701
12,5.1328802,0.0057558999,0,1.82349e-09,7.8509498,0.26674801,0.000815682,17.955
12,5.1322598,0.0068294201,1.60189e-18,1.8344e-09,7.85181,0.266725,0.00081545598,17.945601
12,5.1315699,0.0081861401,1.59458e-18,1.84533e-09,7.8527198,0.266702,0.00081522,17.936501
12,5.1307702,0.0099075995,1.58802e-18,1.85631e-09,7.8537002,0.26667801,0.00081497198,17.9279
12,5.1298699,0.0120995,5.7928502e-22,1.8673101e-09,7.8547902,0.26665401,0.00081471098,17.9198
12,5.12884,0.0148993,-1.57417e-18,1.8783499e-09,7.85602,0.26662901,0.00081443199,17.912399
12,5.1276698,0.018486699,0,1.88942e-09,7.85745,0.26660401,0.00081413198,17.9056
12,5.1263599,0.0230965,-1.56022e-18,1.90052e-09,7.85917,0.26657999,0.00081380497,17.8995
12,5.1249399,0.0290356,3.10476e-18,1.9116499e-09,7.86134,0.26655701,0.00081344403,17.8939
12,5.1234698,0.036701601,0,1.9227999e-09,7.8641601,0.26653999,0.00081304298,17.888599
12,5.1221099,0.046603698,0,1.9339901e-09,7.86799,0.26653099,0.00081259297,17.8825
12,5.1211901,0.059369799,1.52697e-18,1.94521e-09,7.8733602,0.26653799,0.00081208203,17.8743
12,5.1212802,0.075738601,-3.0377201e-18,1.9564499e-09,7.8811202,0.26657301,0.00081149797,17.8608
12,5.1233201,0.096459799,-4.5463599e-21,1.96772e-09,7.8924899,0.266655,0.00081082497,17.837099
12,5.12889,0.122105,0,1.9790201e-09,7.9091301,0.26680699,0.00081004098,17.795601
